iter	Logloss
0	0.6844840355
1	0.6766487177
2	0.6691068068
3	0.6616657769
4	0.6547240603
5	0.6483084318
6	0.6413604034
7	0.6354155751
8	0.6298649087
9	0.6247268828
10	0.6199955497
11	0.6150623661
12	0.6105363648
13	0.6061648708
14	0.6022012116
15	0.5980450016
16	0.5937706685
17	0.5897547455
18	0.5865252816
19	0.5832351621
20	0.5800563398
21	0.5770230667
22	0.5742907877
23	0.5717015131
24	0.5692267432
25	0.5666613779
26	0.564312415
27	0.5621664463
28	0.5600193404
29	0.5574438202
30	0.555404756
31	0.5533729573
32	0.5515273018
33	0.5497684271
34	0.5480106705
35	0.5462355994
36	0.5446592242
37	0.5427398659
38	0.541276503
39	0.5398546788
40	0.5383409148
41	0.5370794854
42	0.5357957067
43	0.534376703
44	0.532886972
45	0.5317347496
46	0.5306296269
47	0.5295503583
48	0.5284252075
49	0.5272716388
50	0.5261025587
51	0.5249372214
52	0.5240238692
53	0.5232142938
54	0.5222769002
55	0.521576357
56	0.5208293527
57	0.5198731287
58	0.5190891335
