iter	Passed	Remaining
0	56	28440
1	121	30369
2	184	30632
3	265	32915
4	327	32447
5	391	32253
6	458	32309
7	530	32637
8	595	32467
9	658	32263
10	719	32003
11	782	31821
12	846	31719
13	911	31644
14	967	31274
15	1034	31282
16	1099	31227
17	1163	31151
18	1227	31086
19	1262	30290
20	1323	30198
21	1385	30101
22	1447	30023
23	1512	29991
24	1578	29994
25	1642	29942
26	1708	29927
27	1732	29210
28	1794	29142
29	1857	29098
30	1922	29080
31	1982	28995
32	2046	28961
33	2109	28918
34	2184	29020
35	2263	29177
36	2329	29148
37	2392	29090
38	2456	29038
39	2520	28981
40	2585	28944
41	2649	28897
42	2712	28828
43	2777	28784
44	2837	28692
45	2880	28431
46	2932	28262
47	2996	28214
48	3059	28155
49	3103	27935
50	3169	27902
51	3234	27868
52	3299	27830
53	3363	27779
54	3389	27420
55	3453	27384
56	3515	27323
57	3548	27044
58	3593	26859
59	3656	26817
60	3720	26774
61	3782	26723
62	3845	26675
63	3909	26634
64	3975	26601
65	4039	26564
66	4108	26548
67	4121	26180
68	4185	26141
69	4259	26162
70	4330	26168
71	4394	26122
72	4457	26073
73	4522	26036
74	4586	25988
75	4652	25953
76	4674	25681
77	4735	25618
78	4797	25565
79	4861	25523
80	4924	25471
81	4988	25429
82	5059	25417
83	5121	25363
84	5186	25324
85	5241	25234
86	5316	25238
87	5330	24954
88	5396	24919
89	5419	24687
90	5479	24629
91	5542	24577
92	5610	24551
93	5656	24433
94	5722	24396
95	5785	24346
96	5849	24300
97	5912	24251
98	5978	24214
99	6044	24176
100	6110	24138
101	6174	24092
102	6239	24049
103	6276	23899
104	6348	23880
105	6413	23840
106	6479	23797
107	6543	23750
108	6607	23702
109	6641	23548
110	6716	23539
111	6750	23384
112	6802	23296
113	6825	23110
114	6894	23080
115	6960	23040
116	6983	22861
117	7047	22816
118	7111	22767
119	7176	22724
120	7242	22685
121	7288	22581
122	7350	22529
123	7412	22477
124	7476	22430
125	7539	22378
126	7590	22293
127	7651	22237
128	7666	22047
129	7744	22041
130	7811	22002
131	7877	21961
132	7948	21932
133	8009	21877
134	8074	21831
135	8141	21790
136	8195	21716
137	8260	21668
138	8334	21644
139	8397	21592
140	8458	21537
141	8514	21465
142	8574	21407
143	8636	21351
144	8698	21297
145	8722	21148
146	8784	21094
147	8846	21040
148	8859	20870
149	8925	20826
150	8989	20776
151	9056	20735
152	9091	20618
153	9157	20573
154	9221	20524
155	9289	20484
156	9361	20452
157	9423	20397
158	9487	20346
159	9530	20252
160	9592	20197
161	9656	20146
162	9721	20100
163	9786	20050
164	9851	20000
165	9885	19890
166	9948	19836
167	10009	19780
168	10071	19726
169	10141	19685
170	10204	19633
171	10218	19485
172	10241	19357
173	10302	19302
174	10384	19285
175	10451	19241
176	10478	19121
177	10525	19040
178	10538	18898
179	10604	18851
180	10674	18812
181	10743	18771
182	10811	18727
183	10880	18686
184	10917	18588
185	10984	18544
186	11059	18510
187	11153	18509
188	11219	18461
189	11284	18412
190	11350	18362
191	11414	18310
192	11477	18256
193	11539	18200
194	11603	18149
195	11671	18103
196	11747	18068
197	11781	17969
198	11834	17900
199	11898	17847
200	11962	17795
201	11998	17700
202	12061	17646
203	12136	17609
204	12205	17563
205	12276	17520
206	12343	17471
207	12407	17418
208	12460	17348
209	12528	17300
210	12590	17245
