bin,left,right,count,mean_predicted_prob,observed_success_rate,abs_error,weighted_abs_error
0,0.0,0.1,328,0.04344238849992753,0.051829268292682924,0.008386879792755396,0.0010314572823486201
1,0.1,0.2,192,0.1478493392630478,0.171875,0.024025660736952198,0.0017296313691394158
2,0.2,0.30000000000000004,200,0.2492505990459101,0.185,0.0642505990459101,0.004818192654361462
3,0.30000000000000004,0.4,214,0.3487517224669315,0.40654205607476634,0.057790333607834865,0.0046370946351993484
4,0.4,0.5,278,0.4514505958626613,0.49640287769784175,0.04495228183518046,0.0046856896701088
5,0.5,0.6000000000000001,299,0.5509020915970637,0.5719063545150501,0.021004262917986405,0.0023548086286006506
6,0.6000000000000001,0.7000000000000001,263,0.6539244836788606,0.6463878326996197,0.007536650979240833,0.0007432093016649191
7,0.7000000000000001,0.8,336,0.7522518708458845,0.7916666666666666,0.03941479582078211,0.00496564356797255
8,0.8,0.9,408,0.8499084899115389,0.8921568627450981,0.0422483728335592,0.006463193144391508
9,0.9,1.0,149,0.9260241522744814,0.912751677852349,0.013272474422132419,0.0007415068199841508
