feature_set,model,auc_mean,auc_std,f1_mean,acc_mean,brier_mean
all_features,catboost,0.8320516159962534,0.005061408518368023,0.7643960476803656,0.7473520714973919,0.16583403122091397
all_features,logistic,0.8168354196143109,0.0016680072525548295,0.7637447500336334,0.7391020215300091,0.172729108147483
early_basic_features,catboost,0.7817355324750812,0.0027474341934118486,0.7283356188896052,0.701884521818739,0.18876946906142344
early_basic_features,logistic,0.7718971502443722,0.0049433732451821385,0.7381765614112483,0.6989784504785003,0.19245812168320772
geography_only,catboost,0.6925313995135128,0.006612875689444187,0.7155935884626311,0.6562291000544763,0.21678618693219673
geography_only,logistic,0.6941153009125299,0.007982468733035882,0.719973253600051,0.6571676430741515,0.21529791566396042
no_city,catboost,0.8321926876056942,0.004894066313169799,0.7642859880812786,0.7470703556570196,0.16589793270153538
no_city,logistic,0.8165673333643341,0.001711225127455461,0.7635440141775166,0.7391021533700691,0.17285298655434997
no_funding_amount_or_rounds,catboost,0.7937272875116425,0.004630495782138441,0.737719708369838,0.7130404585502762,0.18316004948056933
no_funding_amount_or_rounds,logistic,0.7758441266045829,0.00637663687205314,0.7398635938039383,0.7047907249990376,0.19039131246076324
