bin,left,right,count,mean_predicted_prob,observed_success_rate,abs_error,weighted_abs_error
0,0.0,0.1,325,0.04265032918277126,0.055384615384615386,0.012734286201844129,0.0015517971562052277
1,0.1,0.2,192,0.1512434224276157,0.14583333333333334,0.0054100890942823665,0.00038947773007207137
2,0.2,0.30000000000000004,205,0.24826801009763086,0.2097560975609756,0.03851191253665526,0.0029602332470994855
3,0.30000000000000004,0.4,220,0.3502126171575774,0.39090909090909093,0.04069647375151353,0.003357039454568045
4,0.4,0.5,257,0.45278219208469844,0.4980544747081712,0.04527228262347277,0.004362570916472629
5,0.5,0.6000000000000001,296,0.5521505519719606,0.5540540540540541,0.0019035020820934445,0.0002112623233219571
6,0.6000000000000001,0.7000000000000001,265,0.6516537209754746,0.660377358490566,0.00872363751509142,0.0008668031276712509
7,0.7000000000000001,0.8,382,0.7526590291063936,0.806282722513089,0.05362369340669537,0.007680634001258954
8,0.8,0.9,389,0.8507065215014995,0.884318766066838,0.03361224456533851,0.004902573354299468
9,0.9,1.0,136,0.9279589862366688,0.9191176470588235,0.008841339177845353,0.00045085194157741586
