funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,funding_missing,funding_total_usd_log,founded_at_missing,first_funding_at_missing,last_funding_at_missing,startup_age_days,time_to_first_funding_days,funding_duration_days,main_category,category_count
5000000.0,USA,CA,SF Bay Area,Cupertino,1,2012-03-01,2015-03-17,2015-03-17,1,0,15.424948670398354,0,0,0,1373.0,1111.0,0.0,Apps,4
500000.0,USA,WA,Seattle,Seattle,1,2009-01-01,2009-05-15,2009-05-15,1,0,13.122365377402328,0,0,0,2528.0,134.0,0.0,Art,3
2535000.0,USA,CA,SF Bay Area,San Francisco,2,2010-07-01,2010-01-01,2011-02-16,1,0,14.74570458948466,0,0,0,1982.0,-181.0,411.0,Curated Web,1
1250000.0,USA,CA,SF Bay Area,San Francisco,2,2011-09-16,2011-11-02,2011-11-30,1,0,14.038654909278163,0,0,0,1540.0,47.0,28.0,Analytics,1
35000000.0,USA,NY,New York City,New York,1,2000-01-01,2010-03-08,2010-03-08,1,0,17.370858648025116,0,0,0,5816.0,3719.0,0.0,Software,1
50000.0,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04-01,2009-04-01,0,0,10.819798284210286,0,0,0,2438.0,0.0,0.0,Curated Web,1
1800000.0,USA,AL,Huntsville,Huntsville,1,,2011-03-22,2011-03-22,0,0,14.403297778421795,1,0,0,3259.0,548.0,0.0,Enterprise Software,1
5800000.0,AUT,9,Vienna,Vienna,1,2007-01-01,2008-01-01,2008-01-01,1,1,15.573368647930426,0,0,0,3259.0,365.0,0.0,Local Search,3
5800000.0,USA,CA,Los Angeles,West Hollywood,1,2012-01-01,2012-04-05,2012-04-05,1,1,15.573368647930426,0,0,0,1433.0,95.0,0.0,E-Commerce,1
700000.0,SWE,26,Stockholm,Stockholm,1,2010-01-01,2012-06-15,2012-06-15,1,0,13.45883704259595,0,0,0,2163.0,896.0,0.0,Augmented Reality,5
50000.0,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01,0,0,10.819798284210286,0,0,0,2394.0,17.0,0.0,Entertainment,2
14000000.0,USA,MA,Boston,Bedford,1,1990-01-01,2002-04-16,2002-04-16,1,0,16.454567959008102,0,0,0,9468.0,4488.0,0.0,Software,1
40000000.0,USA,WA,Seattle,Bellevue,1,,2004-04-05,2004-04-05,0,0,17.50439003707821,1,0,0,3259.0,548.0,0.0,Advertising,3
5800000.0,CHN,30,Guangzhou,Guangzhou,1,2006-01-01,2008-02-07,2008-02-07,0,1,15.573368647930426,0,0,0,3624.0,767.0,0.0,Cars,2
5000000.0,USA,CA,SF Bay Area,San Francisco,1,2008-11-01,2010-02-11,2010-02-11,0,0,15.424948670398354,0,0,0,2589.0,467.0,0.0,Clean Technology,2
200000000.0,RUS,48,Moscow,Moscow,1,1991-01-01,2011-10-03,2011-10-03,0,0,19.11382792951231,0,0,0,9103.0,7580.0,0.0,Games,3
5800000.0,USA,WA,Seattle,Kirkland,1,2006-06-01,2008-08-12,2008-08-12,0,1,15.573368647930426,0,0,0,3473.0,803.0,0.0,Content,4
5800000.0,IND,19,Bangalore,Bangalore,1,2012-11-01,2014-01-26,2014-01-26,1,1,15.573368647930426,0,0,0,1128.0,451.0,0.0,Chat,2
43811.0,AUS,2,Sydney,Newcastle,2,2009-08-26,2009-05-01,2009-10-01,0,0,10.687663031443638,0,0,0,2291.0,-117.0,153.0,Curated Web,2
50000.0,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30,0,0,10.819798284210286,0,0,0,2713.0,0.0,0.0,Cosmetics,6
1700000.0,USA,NY,New York City,New York,2,2011-02-01,2011-08-10,2015-07-21,1,0,14.346139397261565,0,0,0,1767.0,190.0,1441.0,Doctors,5
50000.0,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01,0,0,10.819798284210286,0,0,0,1633.0,566.0,0.0,Advertising,3
396000000.0,CHN,22,Beijing,Beijing,5,2009-10-16,2008-02-13,2014-12-04,1,0,19.796924771744006,0,0,0,2240.0,-611.0,2486.0,Software,2
15034750.0,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18,1,0,16.525874812910793,0,0,0,6546.0,4744.0,1360.0,Biotechnology,1
250000.0,ISR,5,Tel Aviv,Tel Aviv,1,2010-01-01,2013-10-15,2013-10-15,0,0,12.429220196836383,0,0,0,2163.0,1383.0,0.0,Android,9
3452941.0,USA,CA,Los Angeles,Los Angeles,3,,2010-10-25,2011-12-21,0,0,15.054737179242933,1,0,0,3259.0,548.0,422.0,Finance,1
5800000.0,FRA,A8,Paris,Paris,1,2006-01-01,2006-08-01,2006-08-01,0,1,15.573368647930426,0,0,0,3624.0,212.0,0.0,Advertising,3
5800000.0,missing,missing,missing,missing,1,,2008-01-01,2008-01-01,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
50000.0,USA,NY,"Rochester, New York",Rochester,1,2010-01-01,2011-05-24,2011-05-24,0,0,10.819798284210286,0,0,0,2163.0,508.0,0.0,Software,1
25000.0,USA,CA,SF Bay Area,San Francisco,1,,2010-01-26,2010-01-26,0,0,10.12667110305036,1,0,0,3259.0,548.0,0.0,DIY,3
118000.0,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17,0,0,11.678448377988165,0,0,0,1227.0,-69.0,0.0,E-Commerce,3
250000.0,USA,CA,SF Bay Area,San Francisco,2,,2008-01-01,2008-03-01,1,0,12.429220196836383,1,0,0,3259.0,548.0,60.0,Presentations,2
5800000.0,missing,missing,missing,missing,1,,2007-03-15,2007-03-15,1,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
4000000.0,USA,CO,Denver,Denver,1,2011-09-01,2015-01-09,2015-01-09,1,0,15.201805169084134,0,0,0,1555.0,1226.0,0.0,Internet of Things,3
100000.0,missing,missing,missing,missing,1,,2015-04-16,2015-04-16,0,0,11.51293546492023,1,0,0,3259.0,548.0,0.0,Content,3
5800000.0,USA,CA,SF Bay Area,San Francisco,1,,2012-12-01,2012-12-01,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
85000000.0,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,2005-03-30,2005-03-30,1,0,18.258161826219297,0,0,0,6501.0,2600.0,0.0,Software,1
3167062.0,IRL,10,IRL - Other,Ballinasloe,1,1999-11-23,2002-11-01,2002-11-01,0,0,14.9683152179658,0,0,0,5855.0,1074.0,0.0,SaaS,3
95875000.0,USA,MD,MD - Other,Hyattsville,6,2008-01-01,2009-03-25,2013-10-21,1,0,18.378555828081943,0,0,0,2894.0,449.0,1671.0,EdTech,3
5800000.0,missing,missing,missing,missing,1,,2001-12-01,2001-12-01,1,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,Software,1
5800000.0,ISR,2,Tel Aviv,Ra'anana,1,,2008-01-01,2008-01-01,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,Collaboration,6
162000000.0,USA,CA,SF Bay Area,San Jose,5,,1999-11-01,2003-05-12,1,0,18.903106899369497,1,0,0,3259.0,548.0,1288.0,Curated Web,1
5800000.0,USA,CA,Anaheim,Irvine,1,1984-01-01,1998-03-13,1998-03-13,1,1,15.573368647930426,0,0,0,11660.0,5185.0,0.0,Interior Design,3
5800000.0,GBR,H9,London,London,1,2015-01-10,2015-01-10,2015-01-10,0,1,15.573368647930426,0,0,0,328.0,0.0,0.0,missing,0
5800000.0,missing,missing,missing,missing,1,2015-04-15,2015-09-30,2015-09-30,0,1,15.573368647930426,0,0,0,233.0,168.0,0.0,missing,0
15000000.0,USA,TX,Austin,Austin,2,,2001-01-01,2003-10-29,1,0,16.52356082573315,1,0,0,3259.0,548.0,1031.0,Information Technology,3
5800000.0,DEU,5,Frankfurt,Frankfurt,1,2000-01-01,2012-02-16,2012-02-16,1,1,15.573368647930426,0,0,0,5816.0,4429.0,0.0,Finance,2
500000.0,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06-23,2011-06-01,0,0,13.122365377402328,0,0,0,1990.0,0.0,343.0,Consumer Electronics,5
7289000.0,USA,CA,SF Bay Area,San Mateo,3,2010-01-01,2009-12-22,2012-07-01,1,0,15.801877057557371,0,0,0,2163.0,-10.0,922.0,Enterprise Software,1
503000.0,USA,FL,Orlando,Longwood,2,2011-01-01,2011-06-22,2013-03-21,0,0,13.12834743715147,0,0,0,1798.0,172.0,638.0,Games,1
5800000.0,missing,missing,missing,missing,1,,2014-12-01,2014-12-01,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
169500000.0,USA,SC,SC - Other,Rock Hill,3,1986-01-01,2014-01-15,2014-10-13,1,0,18.948363490684486,0,0,0,10929.0,10241.0,271.0,Software,1
5800000.0,BGR,42,Sofia,Sofia,1,2009-01-01,2009-01-01,2009-01-01,1,1,15.573368647930426,0,0,0,2528.0,0.0,0.0,Technology,1
701760.0,FRA,B4,FRA - Other,Tourcoing,1,,2009-06-12,2009-06-12,0,0,13.461348169199246,1,0,0,3259.0,548.0,0.0,Business Services,2
202250.031601567,missing,missing,missing,missing,1,2014-07-01,2015-11-01,2015-11-01,0,0,12.217264935533525,0,0,0,521.0,488.0,0.0,missing,0
204952.0,missing,missing,missing,missing,1,2013-11-21,2014-12-18,2014-12-18,0,0,12.23053596354187,0,0,0,743.0,392.0,0.0,Creative,2
2249999.0,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2012-03-30,2014-04-02,1,0,14.626440774180603,0,0,0,1433.0,89.0,733.0,Software,1
13708150.0,CHN,5,Guangdong,Guangdong,3,2006-11-01,2007-08-20,2010-03-01,0,0,16.433501177381387,0,0,0,3320.0,292.0,924.0,Semiconductors,1
65000000.0,USA,CA,SF Bay Area,Santa Clara,3,2004-06-01,2005-01-01,2008-09-22,1,0,17.989897843244528,0,0,0,4203.0,214.0,1360.0,Web Hosting,1
1500000.0,missing,missing,missing,missing,1,2010-07-01,2010-07-01,2010-07-01,1,0,14.220976332738882,0,0,0,1982.0,0.0,0.0,Android,3
148000000.0,USA,CA,SF Bay Area,Fremont,3,1999-01-01,2000-05-01,2004-02-10,1,0,18.812722838485147,0,0,0,6181.0,486.0,1380.0,Cloud Data Services,3
15000000.0,USA,WA,Seattle,Seattle,3,1999-01-01,2007-09-05,2010-02-25,1,0,16.52356082573315,0,0,0,6181.0,3169.0,904.0,Clean Technology,1
272000.0,IRL,29,IRL - Other,Athlone,1,2003-01-01,2007-05-01,2007-05-01,0,0,12.513561021741964,0,0,0,4720.0,1581.0,0.0,Software,1
50958896.6114209,IRL,7,Blackrock,Blackrock,2,2004-01-01,2006-10-31,2013-03-01,1,0,17.746529936565253,0,0,0,4355.0,1034.0,2313.0,Coupons,4
26000000.0,USA,CA,SF Bay Area,Sunnyvale,1,,2003-02-11,2003-02-11,1,0,17.073607134447293,1,0,0,3259.0,548.0,0.0,Databases,3
